CODI,Castellà,Català,Tipus de contracte
33791000-1,Artículos de vidrio para la higiene,Articles de vidre d'higiene,Subministraments
33792000-8,Artículos de vidrio para uso farmacéutico,Articles de vidre de farmàcia,Subministraments
33793000-5,Artículos de vidrio para laboratorio,Articles de vidre de laboratori,Subministraments
33900000-9,Equipo y material para institutos anatómico-forenses y depósitos de cadáveres,Equip i material per a autòpsies i dipòsits de cadàvers,Subministraments
33910000-2,Instrumental y material para disección anatomopatológica,Instrumental i material de dissecció patològica,Subministraments
33911000-9,Tijeras de autopsia,Tisores d'autòpsia,Subministraments
33912000-6,Instrumental de disección para autopsia,Instrumental de dissecció per a autòpsies,Subministraments
33912100-7,Pinzas de disección para autopsia,Pinces de dissecció per a autòpsies,Subministraments
33913000-3,Sondas para extracción de proyectiles en autopsia,Sondes per a l'extracció de projectils per a autòpsies,Subministraments
33914000-0,"Hilo, agujas y pinzas de sutura para cadáveres","Fil, agulles i pinces de sutura per a autòpsies",Subministraments
33914100-1,Hilo de sutura para cadáveres,Fil de sutura per a autòpsies,Subministraments
33914200-2,Agujas de sutura para cadáveres,Agulles de sutura per a autòpsies,Subministraments
33914300-3,Pinzas de sutura para cadáveres,Pinces de sutura per a autòpsies,Subministraments
33915000-7,Sondas acanaladas para autopsia,Sondes acanalades per a autòpsies,Subministraments
33916000-4,Hojas o accesorios para sierras de autopsia,Fulles o accessoris de serres per a autòpsies,Subministraments
33916100-5,Sierras de autopsia,Serres d'autòpsia,Subministraments
33917000-1,"Mesas o ""pads"" de disección",Taules o planxes de dissecció,Subministraments
33918000-8,Maletines para accesorios o instrumental de cirugía en cadáveres,Maletins d'accessoris o instrumental de cirurgia per a autòpsies,Subministraments
33919000-5,Estuches enrollables para accesorios o instrumental de cirugía en cadáveres,Estoigs enrotllables d'accessoris o instrumental de cirurgia per a autòpsies,Subministraments
33920000-5,Equipo y suministros para autopsia,Equips i subministraments per a autòpsies,Subministraments
33921000-2,Aspiradores de polvo óseo,Aspiradors de pols òssia,Subministraments
33922000-9,Bolsas para transporte de cadáveres,Bosses de transport de cadàvers,Subministraments
33923000-6,"Reposacabezas, tableros para cadáveres y balanzas colgantes para autopsia","Reposacaps, taulers de cadàvers i balances penjants per a autòpsies",Subministraments
33923100-7,Reposacabezas para autopsia,Reposacaps per a autòpsies,Subministraments
33923200-8,Tableros de apoyo del cadáver para autopsia,Taulers de cadàvers per a autòpsies,Subministraments
33923300-9,Balanzas colgantes para autopsia,Balances penjants per a autòpsies,Subministraments
33924000-3,Equipo de prevención de enfermedades infecciosas en cadáveres,Equip de prevenció de malalties infeccioses per a autòpsies,Subministraments
33925000-0,Pulseras o etiquetas de identificación de cadáveres,Polseres o etiquetes d'identificació de cadàvers,Subministraments
33926000-7,Tubos o aspiradores al vacío para la recogida de líquidos de autopsia,Tubs o aspiradors al buit per a la recollida de líquids per a autòpsies,Subministraments
33927000-4,Termómetros rectales para cadáveres,Termòmetres rectals per a autòpsies,Subministraments
33928000-1,Enderezadores de dedo para cadáveres,Adreçadors de dits per a cadàvers,Subministraments
33929000-8,Maletines de regeneración del tejido dactilar en cadáveres,Maletins de regeneració tissular de cadàvers,Subministraments
33930000-8,Mobiliario para autopsia,Mobiliari per a autòpsies,Subministraments
33931000-5,Mesas o accesorios para autopsia macroscópica,Estacions de treball o accessoris per a autòpsies macroscòpiques,Subministraments
33932000-2,Pilas o accesorios para autopsia,Piques o accessoris per a autòpsies,Subministraments
33933000-9,Mesas o accesorios para autopsia,Taules o accessoris per a autòpsies,Subministraments
33933100-0,Mesas de autopsia,Taules per a autòpsies,Subministraments
33934000-6,Mesas o accesorios para necropsia,Taules o accessoris per a necròpsies,Subministraments
33935000-3,Mesas o accesorios para la disección de cadáveres de animales,Taules o accessoris per a la dissecció d'animals,Subministraments
33936000-0,Mesas o accesorios para embalsamamiento,Estacions de treball o accessoris d'embalsamament,Subministraments
33937000-7,"Mesas para autopsia con evacuación descendente, o accesorios",Estacions de treball per a autòpsies amb evacuació descendent o accessoris,Subministraments
33940000-1,Equipos y material para el transporte y depósito de cadáveres,Equips i material per al transport i dipòsit de cadàvers,Subministraments
33941000-8,Estanterías para el depósito de cadáveres,Prestatgeries per al dipòsit de cadàvers,Subministraments
33942000-5,Carros portacadáveres,Carretons portacadàvers,Subministraments
33943000-2,Carros elevacadáveres de tijera,Carretons elevadors de tisora per a cadàvers,Subministraments
33944000-9,Arcones frigoríficos o congeladores para depósitos de cadáveres,Baguls frigorífics o congeladors de dipòsits de cadàvers,Subministraments
33945000-6,Cámaras frigoríficas para depósitos de cadáveres,Cambres frigorífiques de dipòsits de cadàvers,Subministraments
33946000-3,Carros de autopsia,Carretons per a autòpsies,Subministraments
33947000-0,Bandejas portacadáveres,Safates portacadàvers,Subministraments
33948000-7,Dispositivos para la elevación o traslado de cadáveres,Dispositius per elevar o traslladar cadàvers,Subministraments
33949000-4,Contenedores para transporte de cuerpos,Contenidors de transport de cossos,Subministraments
33950000-4,Equipo y material para medicina legal,Equip i material de medicina clínica forense,Subministraments
33951000-1,Material de necroidentificación,Material de presa d'empremtes dactilars per a autòpsies,Subministraments
33952000-8,Mascarillas antiputrefacción,Màscares antiputrefacció,Subministraments
33953000-5,Material de detección de sangre en cadáveres,Material de detecció de sang per a autòpsies,Subministraments
33954000-2,Maletín de toma de muestras biológicas,Maletins de presa de mostres biològiques,Subministraments
33960000-7,Equipo y material de embalsamamiento,Equip i material d'embalsamament,Subministraments
33961000-4,Inyectores intracavitarios para embalsamamiento,Injectors intracavitaris d'embalsamament,Subministraments
33962000-1,Tubos de drenaje venoso para embalsamamiento,Tubs de drenatge venós d'embalsamament,Subministraments
33963000-8,Líquidos y productos químicos para embalsamamiento,Líquids i tractaments químics d'embalsamament,Subministraments
33964000-5,Tubos inyectores para embalsamamiento,Tubs injectors d'embalsamament,Subministraments
33965000-2,Pilas de embalsamamiento y sus accesorios,Piques i accessoris d'embalsamament,Subministraments
33966000-9,Maletines de embalsamamiento,Maletins d'embalsamament,Subministraments
33967000-6,Agujas de inyector para embalsamamiento,Agulles d'injector d'embalsamament,Subministraments
33968000-3,Cápsulas oculares para embalsamamiento,Càpsules oculars d'embalsamament,Subministraments
33970000-0,Equipo y material para cadáveres,Equip i material mortuori,Subministraments
33971000-7,Indumentaria para cadáveres,Roba mortuòria,Subministraments
33972000-4,Bolsas para cadáveres,Bosses de cadàvers,Subministraments
33973000-1,Mortajas,Mortalles,Subministraments
33974000-8,Aspiradores mortuorios,Aspiradors d'ús mortuori,Subministraments
33975000-5,Compuestos endurecedores para cadáveres,Compostos enduridors d'ús mortuori,Subministraments
34000000-7,Equipos de transporte y productos auxiliares,Equips de transport i productes auxiliars de transport,Subministraments
34100000-8,Vehículos de motor,Vehicles de motor,Subministraments
34110000-1,Automóviles para pasajeros,Turismes,Subministraments
34111000-8,"Automóviles ""familiares"" AC (break) y ""berlinas"" AA (turismos)",Cotxes familiars i berlines,Subministraments
34111100-9,Breaks,Cotxes familiars  ,Subministraments
34111200-0,Automóviles de turismo,Berlines,Subministraments
34113000-2,Vehículos con tracción a las cuatro ruedas,Vehicles amb tracció a les quatre rodes,Subministraments
34113100-3,Jeeps,Jeeps,Subministraments
34113200-4,Vehículos todoterreno,Vehicles tot terreny,Subministraments
34113300-5,Vehículos de doble tracción,Vehicles de fora d'asfalt,Subministraments
34114000-9,Vehículos especiales,Vehicles d'ús especial,Subministraments
34114100-0,Vehículos de emergencia,Vehicles d'emergència,Subministraments
34114110-3,Vehículos de salvamento,Vehicles de salvament,Subministraments
34114120-6,Vehículos paramédicos,Vehicles d'ús paramèdic,Subministraments
34114121-3,Ambulancias,Ambulàncies,Subministraments
34114122-0,Vehículos para transporte de pacientes,Vehicles de transport de pacients,Subministraments
34114200-1,Automóviles de policía,Cotxes de policia,Subministraments
34114210-4,Vehículos celulares,Vehicles cel·lulars,Subministraments
34114300-2,Vehículos para servicios de asistencia social,Vehicles de serveis d'assistència social,Subministraments
34114400-3,Minibuses,Minibusos,Subministraments
34115000-6,Otros automóviles para pasajeros,Altres turismes,Subministraments
34115200-8,Vehículos de motor para el transporte de menos de diez personas,Vehicles de motor per al transport de menys de deu persones,Subministraments
34115300-9,Vehículos de transporte usados,Vehicles de transport de segona mà,Subministraments
34120000-4,Vehículos de motor para el transporte de diez o más personas,Vehicles de motor per al transport de deu persones o més ,Subministraments
34121000-1,Autobuses y autocares,Autobusos i autocars,Subministraments
34121100-2,Autobuses de servicio público,Autobusos de servei públic,Subministraments
34121200-3,Autobuses articulados,Autobusos articulats,Subministraments
34121300-4,Autobuses de dos pisos,Autobusos de dos pisos,Subministraments
34121400-5,Autobuses de plataforma rebajada,Autobusos de plataforma rebaixada,Subministraments
34121500-6,Autocares,Autocars,Subministraments
34130000-7,Vehículos de motor para el transporte de mercancías,Vehicles de motor de transport de mercaderies,Subministraments
34131000-4,"Furgonetas con caja abierta (""pick-ups"")","Camionetes descobertes (""pick-ups"")",Subministraments
34132000-1,Mototrineos,Mototrineus,Subministraments
34133000-8,Camiones articulados,Camions articulats,Subministraments
34133100-9,Camiones cisterna,Camions cisterna,Subministraments
34133110-2,Camiones cisterna para el transporte de combustible,Camions cisterna de transport de combustible,Subministraments
34134000-5,Camiones con plataforma y camiones basculantes,Camions amb plataforma i camions de trabuc,Subministraments
34134100-6,Camiones con plataforma,Camions amb plataforma,Subministraments
34134200-7,Camiones basculantes,Camions bolquet,Subministraments
34136000-9,Camionetas,Furgons,Subministraments
34136100-0,Camionetas ligeras,Furgons lleugers,Subministraments
34136200-1,Camioneta con caja metálica,Furgons amb caixa metàl·lica,Subministraments
34137000-6,Vehículos usados para el transporte de mercancías,Vehicles de segona mà de transport de mercaderies,Subministraments
34138000-3,Tractores de carretera,Tractors de carretera,Subministraments
34139000-0,Chasis,Xassís,Subministraments
34139100-1,Chasis con cabina,Xassís amb cabina,Subministraments
34139200-2,Chasis con carrocería,Xassís amb carrosseria,Subministraments
34139300-3,Chasis completos,Xassís complets,Subministraments
34140000-0,Vehículos pesados,Vehicles pesants,Subministraments
34142000-4,Camiones grúa y camiones volquete,Camions grua i camions de trabuc,Subministraments
34142100-5,Camiones con plataforma elevadora,Camions amb plataforma elevadora,Subministraments
34142200-6,Cargadores de hormigonera,Carregadors de formigonera,Subministraments
34142300-7,Camiones volquete,Camions de trabuc,Subministraments
34143000-1,Vehículos de vialidad invernal,Vehicles de viabilitat hivernal,Subministraments
34144000-8,Vehículos de motor para usos especiales,Vehicles de motor d'ús especial,Subministraments
34144100-9,Torres de perforación móviles,Torres de perforació mòbils,Subministraments
34144200-0,Vehículos para servicios de emergencia,Vehicles de serveis d'emergència,Subministraments
34144210-3,Vehículos de extinción de incendios,Vehicles d'extinció d'incendis,Subministraments
34144211-0,Camiones con escalera giratoria,Camions amb escala giratòria,Subministraments
34144212-7,Vehículos autobomba,Vehicles autobomba,Subministraments
34144213-4,Vehículos de lucha contra incendios,Cotxes de bombers,Subministraments
34144220-6,Vehículos de reparación de averías,Vehicles de reparació d'avaries,Subministraments
34144300-1,Puentes móviles,Ponts mòbils,Subministraments
34144400-2,Vehículos para el mantenimiento de carreteras,Vehicles de manteniment de carreteres,Subministraments
34144410-5,Vehículos para el vaciado de sumideros,Camió de buidatge de fosses,Subministraments
34144420-8,Esparcidores de sal,Escampadores de sal,Subministraments
34144430-1,Barrederas viales automóviles,Escombradora,Subministraments
